n,allocates.time
0,1
500,24
1000,31
1500,38
2000,43
2500,50
3000,88
3500,74
4000,101
4500,118
5000,101
5500,108
6000,112
6500,131
7000,126
7500,141
8000,162
8500,156
9000,196
9500,179
