n,addstwonumbers.time
0,0
500,66
1000,90
1500,94
2000,90
2500,92
3000,91
3500,90
4000,89
4500,90
5000,90
5500,88
6000,92
6500,93
7000,89
7500,93
8000,88
8500,91
9000,90
9500,88
