n,allocates.time
0,0
500,19
1000,32
1500,39
2000,48
2500,51
3000,62
3500,62
4000,78
4500,87
5000,93
5500,106
6000,107
6500,116
7000,125
7500,136
8000,139
8500,151
9000,151
9500,168
