n,addstwonumbers.time
0,0
500,68
1000,87
1500,88
2000,87
2500,88
3000,88
3500,89
4000,89
4500,89
5000,87
5500,88
6000,90
6500,88
7000,86
7500,88
8000,89
8500,88
9000,87
9500,88
